Conf. Session	Date	Time CST Local Time (UTC/GMT -6 hours )	Poster Session	Virtual Session 	Paper Type 	Track	Board 	Paper ID	Paper Title	1st Author	Status	Changed From	Changed To	Status of Change	Authors	Session	Change To	Change From	Change To	Status of Change																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		642	Understanding the Capabilities and Limitations of Large Language Models for Cultural Commonsense	['Siqi Shen', 'Lajanugen Logeswaran', 'Moontae Lee', 'Honglak Lee', 'Soujanya Poria', 'Rada Mihalcea']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Phonology, Morphology and Word Segmentation		663	BPE-knockout: Pruning Pre-existing BPE Tokenisers with Backwards-compatible Morphological Semi-supervision	['Thomas Bauwens', 'Pieter Delobelle']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		677	ParallelPARC: A Scalable Pipeline for Generating Natural-Language Analogies	['Oren Sultan', 'Yonatan Bitton', 'Ron Yosef', 'Dafna Shahaf']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		681	NLP Systems That Can't Tell Use from Mention Censor Counterspeech, but Teaching the Distinction Helps	['Kristina Gligoric', 'Myra Cheng', 'Lucia Zheng', 'Esin Durmus', 'Dan Jurafsky']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		697	PEMA: An Offsite-Tunable Plug-in External Memory Adaptation for Language Models	['HyunJin Kim', 'Young Jin Kim', 'JinYeong Bak']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		712	GINopic: Topic Modeling with Graph Isomorphism Network	['Suman Adhya', 'Debarshi Kumar Sanyal']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Sentiment Analysis, Stylistic Analysis, and Argument Mining		723	Language Models (Mostly) Do Not Consider Emotion Triggers When Predicting Emotion	['Smriti Singh', 'Cornelia Caragea', 'Junyi Jessy Li']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		744	CPopQA: Ranking Cultural Concept Popularity by LLMs	['Ming Jiang', 'Mansi Joshi']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		758	$\textit{LinkPrompt}$: Natural and Universal Adversarial Attacks on Prompt-based Language Models	['Yue Xu', 'Wenjie Wang']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		768	A Survey of Confidence Estimation and Calibration in Large Language Models	['Jiahui Geng', 'Fengyu Cai', 'Yuxia Wang', 'Heinz Koeppl', 'Preslav Nakov', 'Iryna Gurevych']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		793	Instructing Large Language Models to Identify and Ignore Irrelevant Conditions	['Zhenyu Wu', 'Chao Shen', 'Meng Jiang']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		807	UniArk: Improving Generalisation and Consistency for Factual Knowledge Extraction through Debiasing	['Yijun Yang', 'Jie He', 'Pinzhen Chen', 'Victor Gutierrez Basulto', 'Jeff Z. Pan']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		865	Diverse Perspectives, Divergent Models: Cross-Cultural Evaluation of Depression Detection on Twitter	['Nuredin Ali Abdelkadir', 'Charles Chuankai Zhang', 'Ned Mayo', 'Stevie Chancellor']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		887	How did we get here? Summarizing conversation dynamics	['Yilun Hua', 'Nick Chernogor', 'Yuzhe Gu', 'Seoyeon Julie Jeong', 'Miranda Luo', 'Cristian Danescu-Niculescu-Mizil']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		906	UICoder: Finetuning Large Language Models to Generate User Interface Code through Automated Feedback	['Jason Wu']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		913	From Quantity to Quality: Boosting LLM Performance with Self-Guided Data Selection for Instruction Tuning	['Ming Li', 'Yong Zhang', 'Zhitao Li', 'Jiuhai Chen', 'Lichang Chen', 'Ning Cheng', 'Jianzong Wang', 'Tianyi Zhou', 'Jing Xiao']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		957	MEMORY-VQ: Compression for Tractable Internet-Scale Memory	['Yury Zemlyanskiy', 'Michiel de Jong', 'Luke Vilnis', 'Santiago Ontanon', 'William W. Cohen', 'Sumit Sanghai', 'Joshua Ainslie']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		1046	AnchorAL: Computationally Efficient Active Learning for Large and Imbalanced Datasets	['Pietro Lesci', 'Andreas Vlachos']		VGT - TBD	Conf Session B - 06/17 - 11:-12:30			Posters B6	Posters B6 was virtual	VGT - TBD	Conf Session B - 06/17 - 11:-12:30	Underline to Update																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		1051	ICLE++: Modeling Fine-Grained Traits for Holistic Essay Scoring	['Shengjie Li', 'Vincent Ng']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Machine Learning for NLP		1080	DoubleLingo: Causal Estimation with Large Language Models	['Marko Veljanovski', 'Zach Wood-Doughty']						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	NLP Applications		1127	Order-Based Pre-training Strategies for Procedural Text Understanding	['Abhilash Nandy', 'Yash Kulkarni', 'Pawan Goyal', 'Niloy Ganguly']						GT TBD	Virtual was Poster B6	Conf Session B - 06/17 - 11:-12:30	VGT 1 - 6/13 09:00 - 11:00	Underline to Update																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		4805 TACL	MIRACL: A Multilingual Retrieval Dataset Covering 18 Diverse Languages	Xinyu Zhang						Posters B6				Underline to Update																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5449 TACL	Explicitly Representing Syntax Improves Sentence-to-layout Prediction of Unexpected Situations	Ruben Cartuyvels						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5555 TACL	Addressing the Binning Problem in Calibration Assessment through Scalar Annotations	Zhengping Jian						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5691 TACL	Large Language Models Enable Few-Shot Clustering	Vijay Viswanathan						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5721 TACL	Federated Learning for Exploiting Annotators Disagreements in Natural Language Processing	Nuria Rodríguez-Barroso						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5739 TACL	Evaluating the Ripple Effects of Knowledge Editing in Language Models	Mor Geva						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5757 TACL	Lost in the Middle: How Language Models Use Long Contexts	Nelson F. Liu						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5857 TACL	Exploring Human-Like Translation Strategy with Large Language Models	Xing Wang						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		Accept to Main Conference	Computational Social Science and Cultural Analytics		788	Intent-conditioned and Non-toxic Counterspeech Generation using Multi-Task Instruction Tuning with RLAIF	['Amey Hengle', 'Aswini Kumar Padhi', 'Sahajpreet Singh', 'Anil Bandhakavi', 'Md Shad Akhtar', 'Tanmoy Chakraborty']						GT TBD	Virtual was Poster B6	Conf Session B - 06/17 - 11:-12:30	VGT - TBD	Underline to Update																																																			
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		5887 TACL	Source-Free Domain Adaptation for Question Answering with Masked Self-training	Maxwell Juncheng Yin						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		6031 TACL	Scope Ambiguities in Large Language Models	Gaurav Kamath						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main		TACL	TACL		6039 TACL	What Formal Languages Can Transformers Express? A Survey	Lena Strobl						Posters B6																																																							
Session B	2024-06-17	11-12:30	In-Person S1: TACL + CL + Main													#N/A	#N/A	#N/A	#N/A	#N/A																																																			
Session C	2024-06-17	14-15:30	In-Person S2: Main		DEMO	Demo		43 Demo	DOCMASTER: A Unified Platform for Annotation, Training, & Inference in Document Question-Answering	['Alex Nguyen', 'Zilong Wang', 'Jingbo Shang', 'Dheeraj Mekala']						Demos C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		DEMO	Demo		44 Demo	RedCoast: A Lightweight Tool to Automate Distributed Training of LLMs on Any GPU/TPUs	['Bowen Tan', 'Yun Zhu', 'Lijuan Liu', 'Hongyi Wang', 'Yonghao Zhuang', 'Jindong Chen', 'Eric P. Xing', 'Zhiting Hu']						Demos C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		DEMO	Demo		46 Demo	pyvene: A Library for Understanding and Improving PyTorch Models via Interventions	['Zhengxuan Wu', 'Atticus Geiger', 'Aryaman Arora', 'Jing Huang', 'Zheng Wang', 'Noah Goodman', 'Christopher D Manning', 'Christopher Potts']						Demos C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Generation		28	Struc-Bench: Are Large Language Models Good at Generating Complex Structured Tabular Data?	['Xiangru Tang', 'Yiming Zong', 'Jason Phang', 'Yilun Zhao', 'Wangchunshu Zhou', 'Arman Cohan', 'Mark Gerstein']						Orals B2	Oral B2 was Poster C6	Conf Session C - 06/17 - 14-15:30	Conf Session B - 06/17 - 11:-12:30	Underline to Update																																																			
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		45	BookSQL: A Large Scale Text-to-SQL Dataset for Accounting Domain	['Rahul Kumar', 'Amar Raja Dibbu', 'Shrutendra Harsola', 'Vignesh Subrahmaniam', 'Ashutosh Modi']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		117	Language Models Hallucinate, but May Excel at Fact Verification	['Jian Guan', 'Jesse Dodge', 'David Wadden', 'Minlie Huang', 'Hao Peng']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		130	S3Eval: A Synthetic, Scalable, Systematic Evaluation Suite for Large Language Model	['Fangyu Lei', 'Qian Liu', 'Yiming Huang', 'Shizhu He', 'Jun Zhao', 'Kang Liu']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Machine Translation		133	Accurate Knowledge Distillation via n-best Reranking	['Hendra Setiawan']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		141	COPAL-ID: Indonesian Language Reasoning with Local Culture and Nuances	['Haryo Akbarianto Wibowo', 'Erland Hilman Fuadi', 'Made Nindyatama Nityasya', 'Radityo Eko Prasojo', 'Alham Fikri Aji']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		147	XferBench: a Data-Driven Benchmark for Emergent Language	['Brendon Boldt', 'David R Mortensen']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		151	A Symbolic Framework for Evaluating Mathematical Reasoning and Generalisation with Transformers	['Jordan Meadows', 'Marco Valentino', 'Damien Teney', 'Andre Freitas']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		158	Benchmark Transparency: Measuring the Impact of Data on Evaluation	['Venelin Kovatchev', 'Matthew Lease']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Discourse and Pragmatics		160	Returning to the Start: Generating Narratives with Related Endpoints	['Anneliese Brei', 'Chao Zhao', 'Snigdha Chaturvedi']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		215	ReTA: Recursively Thinking Ahead to Improve the Strategic Reasoning of Large Language Models	['Jinhao Duan', 'Shiqi Wang', 'James Diffenderfer', 'Lichao Sun', 'Tianlong Chen', 'Bhavya Kailkhura', 'Kaidi Xu']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		220	A Multi-Aspect Framework for Counter Narrative Evaluation using Large Language Models	['Jaylen Jones', 'Lingbo Mo', 'Eric Fosler-Lussier', 'Huan Sun']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		223	First Tragedy, then Parse: History Repeats Itself in the New Era of Large Language Models	['Naomi Saphra', 'Eve Fleisig', 'Kyunghyun Cho', 'Adam Lopez']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		239	FREB-TQA: A Fine-Grained Robustness Evaluation Benchmark for Table Question Answering	['Wei Zhou', 'Mohsen Mesgar', 'Heike Adel', 'Annemarie Friedrich']						Posters C6																																																							
Session C	2024-06-17	14-15:30	In-Person S2: Main		Accept to Main Conference	Resources and Evaluation		254	PatentEval: Understanding Errors in Patent Generation	['You Zuo', 'Kim Gerdes', 'Éric Villemonte de la Clergerie', 'Benoît Sagot']						Posters C6																																																							
